SalesID,SalePrice
1227829,17409.515135134323
1227844,15232.59837575708
1227847,46628.859594074536
1227848,67666.9359438781
1227863,57191.72790974026
1227870,28931.696171202613
1227871,25873.557523425316
1227879,11844.776522024793
1227880,16948.193903187315
1227881,37387.37475701947
1227882,46596.02866315647
1227883,54633.900813690394
1227885,39472.476172598515
1227886,39378.76096272812
1227887,23628.597023209702
1227888,23382.60099146367
1227905,30934.1926285828
1227910,53831.211640790025
1227911,33457.2352424455
1227912,42160.52409935432
1227913,24534.18370576036
1227914,31052.9116369456
1227917,11270.528932492836
1227918,27871.93908807969
1227920,16057.091006715977
1227924,30368.70964356142
1227925,31007.887806551065
1227930,11619.197905563551
1227933,17510.80568340662
1227942,18101.638740914368
1227949,30811.551412223766
1227972,16796.71255387677
1227976,32318.581092015374
1227977,10123.827723474786
1227979,46589.058266528926
1227980,13621.216123689677
1227988,18196.91105734725
1227990,17107.36941169102
1227991,17792.65203235868
1227992,21077.7186951237
1227994,29440.876671225626
1227997,17625.686223109307
1228007,36380.64844997749
1228012,58801.750541704045
1228019,66591.10496494404
1228031,20249.706865304954
1228040,51064.80838640867
1228042,22655.512726396286
1228046,13130.660277503292
1228049,33824.01419345608
1228050,33592.83193724911
1228056,11552.097969577897
1228061,24977.769008524334
1228065,7958.989460118005
1228069,8617.351397938064
1228071,51704.00873363642
1228072,51134.330297797256
1228075,26877.76434606708
1228076,28696.046031568898
1228089,39422.80308700587
1228104,19058.913889862713
1228105,49667.02374219074
1228107,34228.88794326688
1228113,39909.12921632952
1228117,40324.64681940811
1228119,45061.37293459894
1228122,47276.261591444236
1228123,62168.714624476415
1228124,8231.338840124443
1228129,27158.460232861158
1228130,55726.48779815928
1228131,43342.20781537089
1228134,40600.952081331474
1228135,28155.959214787003
1228136,29838.153775938736
1228142,14866.195817862148
1228145,43606.869966479426
1228149,26229.089376232798
1228150,26920.117083152323
1228152,33131.285993843216
1228153,19633.58277125862
1228155,9531.365091015337
1228156,44231.5398557108
1228157,48001.315674171536
1228158,42298.70716988787
1228160,23023.507878225453
1228161,26896.611178979903
1228168,16155.36924149613
1228179,28748.56096733516
1228182,30766.180891819775
1228183,11095.537720203884
1228188,49162.03662147766
1228192,31581.856226833344
1228195,25884.038699319048
1228197,57627.715823424245
1228198,17617.700286534113
1228200,12430.50764188554
1228203,16480.127946180448
1228214,59722.448033813685
1228217,22341.282179360627
1228219,42557.8193104762
1228222,10967.266921576213
1228225,10504.41674782543
1228228,11357.022482467239
1228229,13187.715753667622
1228231,14574.220312452111
1228236,13308.08170127988
1228237,10819.579617731582
1228238,20879.8476693832
1228244,13204.18506631803
1228245,24156.001849632048
1228247,22267.75300268967
1228248,14847.185103342714
1228253,15228.238852261622
1228254,12737.33235686797
1228256,28835.37960386453
1228265,19239.597193113812
1228270,29832.20142005874
